Sub Standardize ID,Sub Name,Sub Country,Sub State,Parent Standardized ID,Parent Name,tap_industry, 3 Year Stock Spend ,Propoensity to Buy, Estimated Avg. Stock , Est. Low Spend , Est. High Spend , Sales Estimated ASV ,Country,Named,DME Rep,NA Stock ARR,How Many Past Opps,Most Recent Opp
267467,MGOC,#N/A,#N/A,24978,Nexstar,Media & Entertainment, $-   ,*," $30,049.79 "," $16,205.73 "," $56,045.93 ",,US,Named,Zach Fisher,$0,0,GREEN
6387,Boost Mobile,US,VA,13039,Sprint Corporation,Telecommunications, $-   ,*," $26,962.17 "," $13,099.41 "," $55,759.21 ",,US,Named,PH USER AMERICAS 91700566,$0,0,GREEN
21659,Student Loan Corporation,US,CT,12949,Discover Financial Services (DFS),Financial Services, $-   ,*," $26,434.35 "," $12,941.86 "," $55,113.16 ",,US,Named,Bill Partridge,$0,0,GREEN
267108,National Cable Communications (NNC Media),US,GA,5877,Comcast,Advertising, $-   ,*," $26,680.68 "," $13,029.00 "," $54,927.24 ",,US,Named,John Collins,$0,0,GREEN
267111,Cox Media,US,VA,9135,Cox Enterprises,Media & Entertainment, $-   ,*," $26,812.99 "," $13,383.74 "," $54,444.13 ",,US,Named,Grant Hamlen,$0,0,GREEN
265045,Mayo Foundation,US,MN,16190,Mayo Clinic,Non-profit, $-   ,*," $26,389.84 "," $12,946.52 "," $54,232.68 ",,US,Named,Tim Rinaker,$0,0,GREEN
11487,HSN,US,OH,17196,Home Shopping Network (HSN),Retail, $-   ,*," $25,509.62 "," $12,136.13 "," $54,101.94 ",,US,Non-Named,John Collins,$0,0,GREEN
267461,Lin Television,US,RI,24978,Nexstar,Media & Entertainment, $-   ,*," $29,373.33 "," $16,193.63 "," $53,549.55 ",,US,Named,Zach Fisher,$0,0,GREEN
138,West Publishing,US,MN,8794,Thomson Reuters,Professional & Technical Services, $-   ,*," $24,641.39 "," $11,539.44 "," $53,526.68 ",,CA,Named,John Collins,$0,0,GREEN
4992,MSNBC Interactive News,US,WA,5877,Comcast,Media & Entertainment, $-   ,*," $26,579.46 "," $13,553.23 "," $53,018.52 ",,US,Named,John Collins,$0,0,GREEN
267347,TV Guide,US,OK,3187,Lionsgate,Media & Entertainment, $-   ,*," $24,619.62 "," $11,578.48 "," $52,797.45 ",,US,Named,Zach Fisher,$0,0,GREEN
2126,Verizon Data Services,US,CA,2126,Verizon Data Services,Telecommunications, $-   ,****," $27,835.68 "," $14,864.96 "," $52,424.90 ",,US,Named,Zach Fisher,$0,0,GREEN
5546,NextEra Energy,US,MN,5546,NextEra Energy,"Energy, Mining, Oil & Gas", $-   ,*," $28,081.26 "," $15,232.04 "," $52,006.16 ",,US,Named,PH USER AMERICAS 91700566,$0,0,GREEN
6570,Verizon Communications,US,NY,13565,Verizon,Telecommunications, $-   ,****," $27,160.79 "," $14,270.85 "," $51,972.82 ",,US,Named,Zach Fisher,$0,0,GREEN
6470,The Plain Dealer,US,OH,538,Advance Publications,Media & Entertainment, $-   ,*," $26,230.96 "," $13,422.90 "," $51,676.30 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
24905,HarperCollins,CA,BC,2740,News Corporation,Media & Entertainment, $-   ,*," $26,341.12 "," $13,583.16 "," $51,576.33 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
24818,Major League Gaming (MLG),US,NY,13092,Activision Blizzard,Media & Entertainment, $-   ,*," $24,606.39 "," $11,887.05 "," $51,565.84 ",,US,Named,Zach Fisher,$0,0,GREEN
20284,AMC Networks,US,NY,20284,AMC Networks,Media & Entertainment, $-   ,****," $26,978.16 "," $14,223.13 "," $51,507.02 ",,US,Named,Zach Fisher,$0,1,DR2006070
267179,Investopedia,US,NY,6846,InterActiveCorp (IAC),Media & Entertainment, $-   ,*," $25,953.17 "," $13,309.54 "," $50,980.92 ",,US,Named,John Collins,$0,0,GREEN
1651,Newsweek,MX,DIF,34887,IBT Media,Media & Entertainment, $-   ,*," $24,855.35 "," $12,219.73 "," $50,886.87 ",,US,Named,John Collins,$0,0,GREEN
14971,Source Interlink,US,FL,14971,Source Interlink,Media & Entertainment, $-   ,*," $26,760.27 "," $14,200.28 "," $50,833.82 ",,US,Named,Zach Fisher,$0,1,DR1690970
15241,Northwestern Mutual Life Insurance,US,WI,15241,Northwestern Mutual Life Insurance,Insurance, $910.00 ,*****," $27,667.80 "," $15,237.51 "," $50,412.28 ",,US,Named,Bill Partridge,$0,0,GREEN
5815,UnitedHealthCare (UHC),US,IL,6907,UnitedHealth,Health Care, $-   ,*," $22,415.61 "," $10,121.67 "," $50,376.03 ",,US,Named,Bill Bowman,$0,0,GREEN
